------------------------------------------------------------
 Model:        del_Med
 Constituents included: m2  s2  n2  k2  k1  o1  p1  q1  
 
     Lat       Lon        mm.dd.yyyy hh:mm:ss     z(m)   Depth(m)
    41.3589   16.1972     01.07.2019 02:00:00     0.164     5.000
    41.3589   16.1972     01.07.2019 03:00:00     0.199     5.000
    41.3589   16.1972     01.07.2019 04:00:00     0.194     5.000
    41.3589   16.1972     01.07.2019 05:00:00     0.150     5.000
    41.3589   16.1972     01.07.2019 06:00:00     0.080     5.000
    41.3589   16.1972     01.07.2019 07:00:00    -0.000     5.000
    41.3589   16.1972     01.07.2019 08:00:00    -0.071     5.000
    41.3589   16.1972     01.07.2019 09:00:00    -0.117     5.000
    41.3589   16.1972     01.07.2019 10:00:00    -0.128     5.000
    41.3589   16.1972     01.07.2019 11:00:00    -0.106     5.000
    41.3589   16.1972     01.07.2019 12:00:00    -0.058     5.000
    41.3589   16.1972     01.07.2019 13:00:00     0.000     5.000
    41.3589   16.1972     01.07.2019 14:00:00     0.051     5.000
    41.3589   16.1972     01.07.2019 15:00:00     0.079     5.000
    41.3589   16.1972     01.07.2019 16:00:00     0.076     5.000
    41.3589   16.1972     01.07.2019 17:00:00     0.041     5.000
    41.3589   16.1972     01.07.2019 18:00:00    -0.015     5.000
    41.3589   16.1972     01.07.2019 19:00:00    -0.078     5.000
    41.3589   16.1972     01.07.2019 20:00:00    -0.129     5.000
    41.3589   16.1972     01.07.2019 21:00:00    -0.155     5.000
    41.3589   16.1972     01.07.2019 22:00:00    -0.145     5.000
    41.3589   16.1972     01.07.2019 23:00:00    -0.099     5.000
    41.3589   16.1972     01.08.2019 00:00:00    -0.027     5.000
    41.3589   16.1972     01.08.2019 01:00:00     0.056     5.000
    41.3589   16.1972     01.08.2019 02:00:00     0.132     5.000
    41.3589   16.1972     01.08.2019 03:00:00     0.182     5.000
    41.3589   16.1972     01.08.2019 04:00:00     0.195     5.000
    41.3589   16.1972     01.08.2019 05:00:00     0.170     5.000
    41.3589   16.1972     01.08.2019 06:00:00     0.112     5.000
    41.3589   16.1972     01.08.2019 07:00:00     0.037     5.000
    41.3589   16.1972     01.08.2019 08:00:00    -0.039     5.000
    41.3589   16.1972     01.08.2019 09:00:00    -0.096     5.000
    41.3589   16.1972     01.08.2019 10:00:00    -0.125     5.000
    41.3589   16.1972     01.08.2019 11:00:00    -0.119     5.000
    41.3589   16.1972     01.08.2019 12:00:00    -0.083     5.000
    41.3589   16.1972     01.08.2019 13:00:00    -0.030     5.000
    41.3589   16.1972     01.08.2019 14:00:00     0.024     5.000
    41.3589   16.1972     01.08.2019 15:00:00     0.063     5.000
    41.3589   16.1972     01.08.2019 16:00:00     0.075     5.000
    41.3589   16.1972     01.08.2019 17:00:00     0.058     5.000
    41.3589   16.1972     01.08.2019 18:00:00     0.014     5.000
    41.3589   16.1972     01.08.2019 19:00:00    -0.043     5.000
    41.3589   16.1972     01.08.2019 20:00:00    -0.098     5.000
    41.3589   16.1972     01.08.2019 21:00:00    -0.135     5.000
    41.3589   16.1972     01.08.2019 22:00:00    -0.142     5.000
    41.3589   16.1972     01.08.2019 23:00:00    -0.115     5.000
    41.3589   16.1972     01.09.2019 00:00:00    -0.058     5.000
    41.3589   16.1972     01.09.2019 01:00:00     0.017     5.000
    41.3589   16.1972     01.09.2019 02:00:00     0.094     5.000
    41.3589   16.1972     01.09.2019 03:00:00     0.153     5.000
    41.3589   16.1972     01.09.2019 04:00:00     0.183     5.000
    41.3589   16.1972     01.09.2019 05:00:00     0.176     5.000
